Date,EOD/V - Open,EOD/V - Close
2011-11-04,92.33,92.64
2011-11-07,92.8,92.96
2011-11-08,93.43,94.54
2011-11-09,92.29,93.13
2011-11-10,94.35,93.04
2011-11-11,93.79,95.16
2011-11-14,94.61,93.82
2011-11-15,94.02,95.63
2011-11-16,94.55,93.4
2011-11-17,93.69,91.4
2011-11-18,91.52,90.81
2011-11-21,89.66,91.21
2011-11-22,90.95,90.84
2011-11-23,90.36,89.29
2011-11-25,89.04,89.02
2011-11-28,91.67,93.47
2011-11-29,93.47,92.9
2011-11-30,94.85,96.97
2011-12-01,95.92,97.76
2011-12-02,98.39,97.2
2011-12-05,98.28,96.06
2011-12-06,96.04,95.37
2011-12-07,95.27,97.07
2011-12-08,96.94,95.8
2011-12-09,96.63,97.19
2011-12-12,96.64,96.92
2011-12-13,97.44,95.91
2011-12-14,95.71,96.36
2011-12-15,97.32,95.82
2011-12-16,96.67,97.44
2011-12-19,97.51,98.58
2011-12-20,99.53,101.35
2011-12-21,101.11,100.72
2011-12-22,100.61,100.54
2011-12-23,100.93,102.48
2011-12-27,102.49,101.91
2011-12-28,101.69,100.72
2011-12-29,101.0,103.15
2011-12-30,103.17,101.53
2012-01-03,103.4,102.99
2012-01-04,101.69,101.15
2012-01-05,100.71,101.91
2012-01-06,101.96,100.71
2012-01-09,101.01,99.9
2012-01-10,100.87,99.8
2012-01-11,98.98,99.11
2012-01-12,99.38,101.34
2012-01-13,100.72,100.74
2012-01-17,101.3,102.53
2012-01-18,102.16,103.78
2012-01-19,104.16,102.37
2012-01-20,102.39,100.58
2012-01-23,100.75,99.6
2012-01-24,99.05,101.01
2012-01-25,100.61,100.56
2012-01-26,100.72,100.86
2012-01-27,100.41,101.05
2012-01-30,100.14,99.88
2012-01-31,100.49,100.64
2012-02-01,101.18,102.51
2012-02-02,103.78,106.06
2012-02-03,106.79,107.03
2012-02-06,106.94,107.36
2012-02-07,107.46,106.98
2012-02-08,107.77,108.35
2012-02-09,113.06,112.42
2012-02-10,111.79,113.9
2012-02-13,114.25,112.71
2012-02-14,112.11,115.24
2012-02-15,115.74,115.1
2012-02-16,115.46,113.8
2012-02-17,114.41,115.01
2012-02-21,115.26,114.2
2012-02-22,113.79,116.36
2012-02-23,116.36,116.48
2012-02-24,116.49,117.54
2012-02-27,117.07,116.86
2012-02-28,117.16,118.95
2012-02-29,119.02,116.37
2012-03-01,117.45,117.18
2012-03-02,116.51,116.16
2012-03-05,116.16,116.24
2012-03-06,115.22,114.84
2012-03-07,115.72,115.64
2012-03-08,116.68,117.97
2012-03-09,118.07,117.17
2012-03-12,117.02,116.53
2012-03-13,116.91,117.27
2012-03-14,117.31,116.75
2012-03-15,116.62,117.0
2012-03-16,117.43,116.68
2012-03-19,116.44,118.84
2012-03-20,118.15,116.52
2012-03-21,117.09,116.75
2012-03-22,116.15,117.28
2012-03-23,117.51,118.78
2012-03-26,119.36,120.06
2012-03-27,119.98,119.81
2012-03-28,119.68,119.35
2012-03-29,118.54,119.0
2012-03-30,119.09,118.0
2012-04-02,118.0,118.98
2012-04-03,118.84,120.36
2012-04-04,119.49,118.98
2012-04-05,118.32,121.01
2012-04-09,119.66,119.5
2012-04-10,119.48,116.74
2012-04-11,118.02,117.38
2012-04-12,117.47,121.02
2012-04-13,120.4,123.16
2012-04-16,123.04,120.83
2012-04-17,121.63,122.08
2012-04-18,121.61,121.78
2012-04-19,121.27,121.19
2012-04-20,121.82,121.01
2012-04-23,120.25,118.1
2012-04-24,118.35,118.93
2012-04-25,119.74,121.79
2012-04-26,121.89,123.19
2012-04-27,123.74,123.52
2012-04-30,124.11,122.98
2012-05-01,123.47,123.09
2012-05-02,121.61,122.19
2012-05-03,122.01,116.41
2012-05-04,116.22,117.79
2012-05-07,116.96,118.51
2012-05-08,118.27,118.14
2012-05-09,117.31,117.42
2012-05-10,118.3,118.17
2012-05-11,117.36,117.92
2012-05-14,116.83,116.72
2012-05-15,116.45,116.61
2012-05-16,116.99,117.53
2012-05-17,117.0,115.01
2012-05-18,114.85,112.64
2012-05-21,113.27,116.22
2012-05-22,116.41,118.39
2012-05-23,117.62,119.17
2012-05-24,119.72,119.77
2012-05-25,119.39,119.37
2012-05-29,120.15,120.28
2012-05-30,118.71,117.49
2012-05-31,117.75,115.2
2012-06-01,113.64,112.25
2012-06-04,112.03,114.16
2012-06-05,113.76,113.81
2012-06-06,114.97,116.34
2012-06-07,117.83,116.81
2012-06-08,116.39,116.58
2012-06-11,117.27,116.35
2012-06-12,116.41,117.16
2012-06-13,115.8,114.9
2012-06-14,115.26,116.49
2012-06-15,117.37,118.4
2012-06-18,118.01,120.1
2012-06-19,120.86,121.35
2012-06-20,121.1,122.59
2012-06-21,122.58,119.48
2012-06-22,120.25,124.95
2012-06-25,122.86,121.27
2012-06-26,121.76,123.16
2012-06-27,123.36,123.44
2012-06-28,123.0,121.52
2012-06-29,123.26,123.63
2012-07-02,124.26,126.62
2012-07-03,126.49,126.34
2012-07-05,125.74,127.01
2012-07-06,126.08,125.28
2012-07-09,123.15,123.65
2012-07-10,124.33,122.28
2012-07-11,121.91,120.74
2012-07-12,119.11,122.64
2012-07-13,122.5,124.09
2012-07-16,128.2,127.15
2012-07-17,128.13,128.23
2012-07-18,127.5,127.82
2012-07-19,128.3,125.39
2012-07-20,124.61,125.75
2012-07-23,124.05,124.47
2012-07-24,124.5,122.65
2012-07-25,123.38,122.2
2012-07-26,124.97,126.77
2012-07-27,126.93,129.14
2012-07-30,128.85,130.84
2012-07-31,130.43,129.07
2012-08-01,128.5,127.46
2012-08-02,126.8,129.27
2012-08-03,130.36,130.98
2012-08-06,131.0,131.03
2012-08-07,130.83,130.4
2012-08-08,130.78,131.15
2012-08-09,130.88,128.51
2012-08-10,128.19,129.09
2012-08-13,128.64,128.32
2012-08-14,129.12,129.89
2012-08-15,129.18,129.06
2012-08-16,128.7,129.68
2012-08-17,129.99,128.69
2012-08-20,128.61,128.16
2012-08-21,128.71,127.52
2012-08-22,126.87,128.1
2012-08-23,127.93,127.15
2012-08-24,126.59,126.66
2012-08-27,127.29,127.66
2012-08-28,127.86,127.4
2012-08-29,127.55,128.02
2012-08-30,127.1,126.7
2012-08-31,127.51,128.25
2012-09-04,128.36,128.52
2012-09-05,128.86,127.61
2012-09-06,128.18,129.5
2012-09-07,129.51,129.71
2012-09-10,128.42,128.68
2012-09-11,128.88,131.49
2012-09-12,131.65,133.46
2012-09-13,132.95,134.98
2012-09-14,135.25,134.25
2012-09-17,134.46,133.87
2012-09-18,133.09,133.66
2012-09-19,133.87,134.79
2012-09-20,134.29,134.61
2012-09-21,135.3,135.0
2012-09-24,134.11,133.74
2012-09-25,133.84,134.56
2012-09-26,134.14,132.52
2012-09-27,132.71,133.91
2012-09-28,133.98,134.28
2012-10-01,134.87,136.73
2012-10-02,136.59,136.0
2012-10-03,136.65,138.52
2012-10-04,138.8,139.67
2012-10-05,140.74,140.26
2012-10-08,139.0,138.71
2012-10-09,139.17,136.74
2012-10-10,136.63,137.42
2012-10-11,138.2,139.05
2012-10-12,139.37,139.12
2012-10-15,139.36,139.89
2012-10-16,140.2,141.16
2012-10-17,141.16,142.56
2012-10-18,142.36,141.88
2012-10-19,142.31,139.97
2012-10-22,139.81,139.0
2012-10-23,137.95,136.64
2012-10-24,137.5,136.49
2012-10-25,137.83,137.55
2012-10-26,137.83,138.31
2012-10-31,137.6,138.76
2012-11-01,140.82,143.88
2012-11-02,144.06,143.4
2012-11-05,142.75,141.5
2012-11-06,142.48,143.86
2012-11-07,142.54,142.56
2012-11-08,142.15,142.06
2012-11-09,140.92,142.93
2012-11-12,142.02,143.24
2012-11-13,142.6,142.45
2012-11-14,142.6,139.95
2012-11-15,140.0,140.0
2012-11-16,140.02,142.71
2012-11-19,144.0,145.65
2012-11-20,145.54,146.34
2012-11-21,146.22,146.66
2012-11-23,147.3,148.12
2012-11-26,147.61,147.25
2012-11-27,147.12,146.78
2012-11-28,146.03,147.29
2012-11-29,147.93,148.18
2012-11-30,148.32,149.71
2012-12-03,150.0,148.64
2012-12-04,148.98,147.59
2012-12-05,148.51,148.06
2012-12-06,148.45,148.47
2012-12-07,149.12,148.55
2012-12-10,148.75,148.66
2012-12-11,148.4,148.9
2012-12-12,149.69,147.88
2012-12-13,148.11,147.2
2012-12-14,146.88,146.82
2012-12-17,146.97,149.13
2012-12-18,149.01,150.72
2012-12-19,150.8,149.16
2012-12-20,149.88,152.46
2012-12-21,150.97,150.77
2012-12-24,150.23,151.18
2012-12-26,151.28,149.76
2012-12-27,149.69,149.4
2012-12-28,148.46,148.65
2012-12-31,148.35,151.58
2013-01-02,154.16,155.38
2013-01-03,157.11,155.5
2013-01-04,155.6,156.77
2013-01-07,156.94,157.89
2013-01-08,157.65,159.36
2013-01-09,161.4,161.79
2013-01-10,162.0301,160.51
2013-01-11,159.78,161.16
2013-01-14,161.28,160.65
2013-01-15,159.82,160.45
2013-01-16,160.11,160.2
2013-01-17,161.0,159.88
2013-01-18,158.52,158.27
2013-01-22,158.68,159.05
2013-01-23,158.29,159.05
2013-01-24,159.3,159.56
2013-01-25,159.92,159.84
2013-01-28,160.28,156.35
2013-01-29,155.74,156.66
2013-01-30,156.99,155.01
2013-01-31,159.0,157.91
2013-02-01,159.0,158.56
2013-02-04,157.77,156.65
2013-02-05,157.62,159.53
2013-02-06,159.22,160.82
2013-02-07,158.98,157.06
2013-02-08,157.4,157.8
2013-02-11,157.58,156.33
2013-02-12,156.84,156.8
2013-02-13,156.45,154.77
2013-02-14,154.6,155.98
2013-02-15,156.35,157.99
2013-02-19,158.01,157.61
2013-02-20,157.12,155.42
2013-02-21,155.12,157.44
2013-02-22,158.3,159.43
2013-02-25,159.2,155.89
2013-02-26,156.01,157.83
2013-02-27,157.45,159.87
2013-02-28,160.34,158.64
2013-03-01,157.93,158.08
2013-03-04,157.76,159.5
2013-03-05,160.09,160.29
2013-03-06,160.86,161.06
2013-03-07,160.87,160.51
2013-03-08,161.34,160.67
2013-03-11,161.37,161.18
2013-03-12,160.68,159.8
2013-03-13,159.5,159.37
2013-03-14,159.4,160.66
2013-03-15,160.03,158.55
2013-03-18,157.28,158.07
2013-03-19,158.0,156.0
2013-03-20,157.0,159.33
2013-03-21,158.45,157.8
2013-03-22,158.21,160.09
2013-03-25,160.75,164.0
2013-03-26,164.9,167.46
2013-03-27,166.61,168.66
2013-03-28,168.75,169.84
2013-04-01,169.75,167.35
2013-04-02,168.42,167.95
2013-04-03,168.42,164.75
2013-04-04,165.42,166.48
2013-04-05,164.21,165.16
2013-04-08,165.64,166.29
2013-04-09,166.83,164.75
2013-04-10,164.97,166.99
2013-04-11,167.0,167.62
2013-04-12,165.91,165.75
2013-04-15,164.62,161.29
2013-04-16,162.65,164.71
2013-04-17,163.74,162.23
2013-04-18,162.59,161.41
2013-04-19,162.08,163.96
2013-04-22,163.57,163.53
2013-04-23,164.27,165.66
2013-04-24,165.66,167.06
2013-04-25,167.91,168.76
2013-04-26,168.76,167.23
2013-04-29,167.73,167.9
2013-04-30,168.59,168.46
2013-05-01,166.99,166.02
2013-05-02,170.0,175.4
2013-05-03,176.96,179.54
2013-05-06,179.34,178.89
2013-05-07,179.49,179.79
2013-05-08,179.46,179.26
2013-05-09,179.23,178.58
2013-05-10,178.68,178.75
2013-05-13,178.58,178.93
2013-05-14,178.98,180.32
2013-05-15,179.99,181.76
2013-05-16,181.74,179.8
2013-05-17,180.88,184.57
2013-05-20,183.91,181.61
2013-05-21,181.54,181.55
2013-05-22,182.08,180.14
2013-05-23,178.38,178.1
2013-05-24,177.88,180.45
2013-05-28,182.44,180.03
2013-05-29,179.22,178.14
2013-05-30,178.34,181.03
2013-05-31,180.57,178.14
2013-06-03,178.75,180.19
2013-06-04,179.4,180.2
2013-06-05,179.87,177.22
2013-06-06,176.69,179.35
2013-06-07,180.65,179.94
2013-06-10,180.54,182.33
2013-06-11,180.55,179.66
2013-06-12,180.64,179.15
2013-06-13,179.15,182.25
2013-06-14,182.05,180.93
2013-06-17,182.32,182.35
2013-06-18,181.72,184.01
2013-06-19,184.25,182.63
2013-06-20,181.53,178.46
2013-06-21,180.0,179.5
2013-06-24,178.11,178.27
2013-06-25,179.8,180.47
2013-06-26,181.89,182.65
2013-06-27,183.44,184.26
2013-06-28,184.26,182.75
2013-07-01,183.9,185.22
2013-07-02,185.08,185.24
2013-07-03,184.18,187.04
2013-07-05,188.87,190.79
2013-07-08,191.6,188.1
2013-07-09,188.95,187.2
2013-07-10,187.35,186.7
2013-07-11,189.34,189.96
2013-07-12,189.9,190.72
2013-07-15,191.5,190.25
2013-07-16,190.19,189.38
2013-07-17,188.44,189.64
2013-07-18,190.21,191.01
2013-07-19,191.08,189.92
2013-07-22,190.21,191.22
2013-07-23,190.73,188.58
2013-07-24,189.79,186.75
2013-07-25,191.0,194.61
2013-07-26,194.0,193.2
2013-07-29,192.86,191.97
2013-07-30,192.7,191.44
2013-07-31,193.75,177.01
2013-08-01,181.76,179.17
2013-08-02,181.62,184.0
2013-08-05,184.0,184.54
2013-08-06,184.21,182.89
2013-08-07,181.41,181.39
2013-08-08,182.41,180.78
2013-08-09,180.8,179.81
2013-08-12,179.4,179.76
2013-08-13,180.5,179.23
2013-08-14,179.51,178.35
2013-08-15,177.45,173.93
2013-08-16,173.72,173.13
2013-08-19,172.33,174.98
2013-08-20,174.61,173.22
2013-08-21,173.26,178.39
2013-08-22,179.64,178.92
2013-08-23,180.4,179.1
2013-08-26,179.46,175.0
2013-08-27,172.98,174.17
2013-08-28,173.37,175.21
2013-08-29,175.11,175.37
2013-08-30,175.41,174.42
2013-09-03,176.03,177.02
2013-09-04,176.9,176.19
2013-09-05,176.13,176.21
2013-09-06,176.32,176.67
2013-09-09,177.28,178.55
2013-09-10,182.41,184.59
2013-09-11,185.0,186.31
2013-09-12,186.43,185.06
2013-09-13,185.49,189.0
2013-09-16,190.96,189.38
2013-09-17,189.32,191.6
2013-09-18,190.42,193.65
2013-09-19,194.53,194.71
2013-09-20,195.3,198.83
2013-09-23,197.96,196.24
2013-09-24,196.24,193.34
2013-09-25,193.27,191.56
2013-09-26,192.45,193.56
2013-09-27,191.99,193.05
2013-09-30,190.8,191.1
2013-10-01,191.29,193.22
2013-10-02,191.9,191.82
2013-10-03,191.99,188.65
2013-10-04,188.64,190.48
2013-10-07,187.95,186.33
